Operation 0 1 2 3 4 5 6
PING_INLINE 1.07  1.49  1.70  1.98  3.26  3.64  3.87
PING_BULK 1.02  1.52  1.72  1.98  2.64  3.64  3.95
SET 1.00  1.59  1.83  2.05  2.07  3.93  4.31
GET 1.00  1.55  1.76  1.91  2.03  3.26  4.17
INCR  0.98  1.56  1.81  2.02  2.09  2.56  4.47
LPUSH 0.98  1.59  1.83  2.05  2.07  2.07  4.31
LPOP  0.98  1.52  1.79  2.03  2.05  2.10  4.40
SADD  0.98  1.57  1.81  2.03  2.05  2.64  4.26
SPOP  1.00  1.54  1.75  2.02  2.07  2.12  4.07
LPUSH 0.97  1.57  1.84  2.07  2.07  2.17  4.50
LRANGE_100  1.03  0.98  1.07  1.81  1.83  2.22  2.46
LRANGE_300  1.00  1.02  1.06  1.58  1.59  1.63  1.83
LRANGE_500  1.00  1.03  1.05  1.20  1.41  1.28  1.74
LRANGE_600  1.00  1.03  1.05  1.16  1.31  1.09  1.65
MSET  1.08  1.61  1.71  1.83  1.99  3.82  4.22
