Operation 0 1 2 3 4 5 6
PING_INLINE 1.07  1.16  1.25  1.42  1.43  1.42  1.44
PING_BULK 0.99  1.1 1.09  1.41  1.44  1.4 1.46
SET 0.98  1.08  1.07  1.22  1.2 1.24  1.25
GET 0.99  1.13  1.18  1.25  1.27  1.31  1.3
INCR  1.16  1.26  1.26  1.33  1.33  1.35  1.36
LPUSH 1.05  1.11  1.2 1.24  1.25  1.25  1.27
LPOP  0.95  1.19  1.23  1.35  1.29  1.33  1.28
SADD  1.15  1.15  1.38  1.49  1.51  1.54  1.52
SPOP  1.17  1.15  1.11  1.36  1.39  1.43  1.47
LPUSH  1.02  1.03  1.07  1.14  1.11  1.14  1.14
LRANGE_100 1.29  1.29  1.32  1.32  1.32  1.36  1.34
LRANGE_300 1 1.01  1.01  1.01  1.01  1.01  1.06
LRANGE_500 1.01  1.01  1.01  1.01  1 1.02  1.05
LRANGE_600 0.99  0.99  0.98  1 0.98  1.01  1.07
MSET  1.1 1.1 1.1 1.13  1.14  1.16  1.16
