Benchmark          0         1         2         3         4         5         6         7
164.gzip        1.00      1.05      1.26      1.51      2.71      2.59      2.72      2.66
175.vpr         1.01      1.08      1.21      1.43      2.18      2.44      2.63      2.93
176.gcc         1.00      1.22      1.46      1.45      2.49      2.81      2.73      3.60
181.mcf         1.06      1.70      2.80      3.81      4.98      6.18      6.30      7.76
186.crafty      1.00      1.03      1.23      1.40      2.26      2.57      3.08      3.64
197.parser      1.00      1.05      1.55      2.10      2.53      4.08      3.90      4.02
252.eon         1.00      1.07      2.08      2.99      3.63      4.88      5.36      5.81
253.perlbmk     1.00      1.09      1.73      2.50      3.62      4.91      5.02      5.77
254.gap         1.00      1.06      1.30      1.56      1.80      1.99      2.65      3.03
255.vortex      0.99      1.10      1.29      1.92      2.46      2.83      3.11      3.80
256.bzip2       0.99      1.14      1.35      2.16      2.27      2.63      2.85      3.00
300.twolf       1.00      1.08      1.09      1.87      1.98      2.30      2.71      3.11
