Benchmark          0         1         2         3         4         5         6         7   
400.perlbench   1.01      1.14      1.31      1.61      1.46      1.68      1.82      1.97
401.bzip2       1.00      1.05      1.17      1.44      1.55      1.78      1.99      2.26
403.gcc         1.01      1.15      1.39      1.90      1.87      2.20      2.62      3.59
429.mcf         1.00      1.36      1.68      2.36      2.59      3.16      3.78      4.45
445.gobmk       1.00      1.07      1.13      1.37      1.38      1.50      1.63      1.71
456.hmmer       1.00      1.03      1.06      1.41      1.33      1.52      1.69      1.80
458.sjeng       1.00      1.03      1.06      1.57      1.35      1.49      1.65      1.73
462.libquantum  1.00      1.61      2.38      3.20      4.00      4.84      5.69      6.56
464.h264ref     1.00      1.03      1.06      1.84      1.40      1.64      1.85      2.08
471.omnetpp     0.96      1.21      1.42      1.95      1.90      2.25      2.58      2.95
473.astar       1.00      1.14      1.49      1.60      1.65      1.88      2.12      2.39
483.xalancbmk   0.99      1.01      1.01      1.02      1.01      1.02      1.01      1.02
