# Revisions Traces Sources
2379 0 0
2380 0 0.00006395089
2381 0 0.004188783
2382 0 0.008249664
2383 0 0.01202277
2384 0 0.0144529
2385 0 0.02663554
2386 0 0.02791456
2387 0 0.03146384
2388 0 0.03146384
2389 0 0.03187952
2390 0 0.04121635
2391 0 0.04355055
2392 0 0.04735563
2393 0 0.04735563
2394 0 0.04943403
2397 0 0.04943403
2398 0 0.04991367
2399 0 0.04994564
2400 0 0.05106478
2401 0 0.05211997
2402 0 0.05211997
2403 0 0.0524717
2404 0 0.05726802
2405 0 0.05752382
2406 0 0.05752382
2407 0 0.05838716
2408 0 0.0669246
2409 0 0.070314
2411 0 0.070314
2412 0 0.070314
2413 0 0.07095351
2414 0 0.1655688
2415 0 0.1655688
2418 0 0.1662084
2419 0 0.1668479
2421 0 0.1869924
2423 0 0.1869924
2425 0 0.1876639
2426 0 0.2074886
2427 0 0.2080642
2428 0 0.2086717
2430 0 0.2103025
2431 0 0.239592
2432 0 0.244804
2433 0 0.2456354
2434 0 0.2456354
2435 0 0.2456354
2436 0.0377358491 0.248737
2437 0.0377358491 0.248737
2438 0.0377358491 0.2490247
2439 0.0377358491 0.2529258
2440 0.0377358491 0.2529577
2444 0.0377358491 0.2529577
2466 0.064690027 0.264277
2469 0.064690027 0.3020081
2470 0.064690027 0.3397391
2471 0.064690027 0.3665025
2472 0.064690027 0.3859116
2473 0.064690027 0.3918271
2474 0.064690027 0.3976466
2475 0.064690027 0.3976466
2477 0.064690027 0.4157767
2478 0.064690027 0.4164801
2479 0.064690027 0.4346422
2480 0.064690027 0.4434994
2481 0.064690027 0.4436593
2482 0.064690027 0.444075
2483 0.064690027 0.4442668
2484 0.064690027 0.4489032
2485 0.064690027 0.4494468
2486 0.064690027 0.4564175
2487 0.064690027 0.4568012
2492 0.064690027 0.4816781
2494 0.064690027 0.4996163
2495 0.064690027 0.500064
2497 0.064690027 0.5029737
2498 0.064690027 0.5062672
2499 0.064690027 0.5062672
2502 0.064690027 0.5062672
2503 0.064690027 0.5063631
2505 0.064690027 0.5063631
2506 0.064690027 0.5225427
2507 0.064690027 0.5382746
2508 0.064690027 0.5466841
2509 0.064690027 0.5623201
2510 0.064690027 0.5627998
2511 0.064690027 0.5627998
2515 0.064690027 0.5682036
2517 0.064690027 0.5682676
2519 0.064690027 0.5685234
2522 0.064690027 0.5685234
2523 0.064690027 0.5699942
2524 0.1778975741 0.5814734
2526 0.1778975741 0.5881883
2528 0.1778975741 0.5894353
2530 0.1778975741 0.5894353
2531 0.1778975741 0.6088764
2532 0.1778975741 0.6172859
2534 0.1778975741 0.619812
2540 0.1778975741 0.619812
2542 0.1778975741 0.638038
2543 0.1778975741 0.638038
2545 0.1778975741 0.638038
2546 0.1778975741 0.6396687
2547 0.1778975741 0.644561
2548 0.1778975741 0.6451046
2549 0.1778975741 0.6543135
2550 0.2425876011 0.6837309
2553 0.2425876011 0.6871523
2555 0.2425876011 0.6871523
2558 0.2425876011 0.6898062
2570 0.2425876011 0.6923003
2571 0.2425876011 0.6923003
2572 0.2425876011 0.692748
2573 0.2425876011 0.6939311
2575 0.2425876011 0.6943467
2576 0.2425876011 0.6943467
2577 0.2425876011 0.6943467
2578 0.2614555256 0.7072009
2581 0.2614555256 0.7072648
2582 0.2614555256 0.725235
2583 0.2614555256 0.7264181
2585 0.2614555256 0.7290401
2586 0.2614555256 0.7300953
2588 0.2614555256 0.7300953
2589 0.2614555256 0.7301592
2590 0.2614555256 0.7428855
2593 0.2614555256 0.7438128
2594 0.2614555256 0.8093944
2595 0.2614555256 0.8093944
2596 0.2614555256 0.8300505
2597 0.2614555256 0.8439279
2598 0.2614555256 0.8535525
2599 0.2614555256 0.8535525
2600 0.2614555256 0.8535525
2603 0.2614555256 0.8535525
2604 0.2614555256 0.8540321
2605 0.2614555256 0.8578052
2606 0.2641509434 0.8578692
2608 0.2641509434 0.8584767
2610 0.2641509434 0.8584767
2612 1 0.8617062
2614 1 0.8617062
2615 1 0.8617062
2616 1 0.8617062
2618 1 0.8729296
2619 1 0.8820426
2620 1 0.8910277
2621 1 0.8913474
2622 1 0.8969112
2624 1 0.9780968
2625 1 0.9805589
2626 1 0.9829891
2627 1 0.9831809
2628 1 0.9831809
2629 1 0.9835966
2630 1 0.9835966
2631 1 0.9836605
2632 1 0.9917184
2633 1 0.9917184
2634 1 0.9920061
2635 1 1
